code_parametre;code_cas;libelle;famille;unite;seuil_2016;seuil_2026;date_applicabilite_2026;seuil_conditionnel;condition_seuil;statut_2026;seuil_futur;date_applicabilite_futur;seuil_strict;base_seuil_strict;pe_reglementaire;pe_scientifique;sources;fiabilite;est_agregat;cancerogenicite_circ
1751;;Bromates;sous-produit desinfection;µg/L;10.0;10.0;;;;limite;;;10.0;Limite UE;non;a_documenter;REG-01|REG-03;verifie;non;
1114;;Benzene;organique;µg/L;1.0;1.0;;;;limite;;;1.0;Limite UE;non;a_documenter;REG-01;verifie;non;
;;Chlorure de vinyle;organique;µg/L;0.50;0.50;;;;limite;;;0.50;Limite UE;non;a_documenter;REG-01;verifie;non;
1457;;Acrylamide;organique;µg/L;0.10;0.10;;;;limite;;;0.10;Limite UE;non;a_documenter;REG-01;verifie;non;
2033;;Hydrocarbures aromatiques polycycliques (somme 4);organique;µg/L;0.10;0.10;;;;limite;;;0.10;Limite UE;non;a_documenter;REG-01;verifie;oui;
2098;;Tritium;radiologique;Bq/L;100.0;100.0;;;;reference (valeur parametrique, directive 2013/51/Euratom);;;100.0;Directive 2013/51/Euratom annexe I : valeur parametrique. Le tritium est EXCLU du calcul de la dose indicative (art. 2 pt 3) : ce n est pas un parametre sanitaire mais un INDICATEUR, dont le depassement ouvre une obligation d analyse d autres radionucleides artificiels;non;non;RAD-01|REG-06;verifie;non;
2060;;Radon 222;radiologique;Bq/L;100.0;100.0;;;;reference (valeur parametrique, directive 2013/51/Euratom);;;100.0;Directive 2013/51/Euratom annexe I : valeur parametrique. En France, uniquement pour les eaux d origine SOUTERRAINE - restriction propre a l arrete francais, absente de la directive;non;non;RAD-01|REG-06;verifie;non;
2059;;Dose indicative (DI);radiologique;mSv/an;0.10;0.10;;;;reference (valeur parametrique, directive 2013/51/Euratom);;;0.10;Directive 2013/51/Euratom annexe I : valeur parametrique. Un depassement ne cree pas de non-conformite : il declenche une enquete et une evaluation du risque (art. 7);non;non;RAD-01|REG-06;verifie;non;
1302;;pH;equilibre;unite pH;;;;;;reference (plage 6.5 a 9);;;;Plage de reference FR - pas un seuil unique;non;non;REG-01;verifie;non;
1303;;Conductivite a 25 C;equilibre;µS/cm;;;;;;reference (plage 200 a 1100);;;;Plage de reference FR - pas un seuil unique;non;non;REG-01;verifie;non;
1449;;Escherichia coli;microbiologique;n/100mL;0.0;0.0;;;;limite;;;0.0;Absence exigee;non;non;REG-01;verifie;non;
6455;;Enterocoques;microbiologique;n/100mL;0.0;0.0;;;;limite;;;0.0;Absence exigee;non;non;REG-01;verifie;non;
1447;;Bacteries coliformes;microbiologique;n/100mL;0.0;0.0;;;;reference;;;0.0;Absence exigee (reference);non;non;REG-01;verifie;non;
;288-88-0;1,2,4-triazole;metabolite;µg/L;0.10;0.10;;;;limite (pertinent, avis 2023-SA-0041-c du 24/03/2025);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
2011;2008-58-4;2,6 Dichlorobenzamide;metabolite;µg/L;0.10;0.10;;;;limite (pertinent, avis 2021-SA-0020-b du 26/01/2022);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
6856;187022-11-3;ESA acetochlore;metabolite;µg/L;0.10;0.90;2019-01-30;;;vigilance (non pertinent depuis le 30/01/2019, avis 2015-SA-0252);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
6862;194992-44-4;OXA acetochlore;metabolite;µg/L;0.10;0.90;2019-01-30;;;vigilance (non pertinent depuis le 30/01/2019, avis 2015-SA-0252);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
1907;1066-51-9;AMPA;metabolite;µg/L;0.10;0.90;2025-06-05;;;vigilance (non pertinent depuis le 05/06/2025, avis 2023-SA-0041-d);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
6800;142363-53-9;ESA alachlore;metabolite;µg/L;0.10;0.90;2019-01-30;;;vigilance (non pertinent depuis le 30/01/2019, avis 2015-SA-0252);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
6855;171262-17-2;OXA alachlore;metabolite;µg/L;0.10;0.10;;;;limite (pertinent, avis 2015-SA-0252 du 30/01/2019);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
6381;1231710-75-0;CGA 354742;metabolite;µg/L;0.10;0.90;2020-02-04;;;vigilance (non pertinent depuis le 04/02/2020, avis 2018-SA-0134-b);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
7727;;CGA 369873;metabolite;µg/L;0.10;0.90;2019-03-15;;;vigilance (non pertinent depuis le 15/03/2019, avis 2019-SA-0228);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
8865;;chlorothalonil R471811;metabolite;µg/L;0.10;0.90;2024-04-29;;;vigilance (non pertinent depuis le 29/04/2024, avis 2023-SA-0142-a);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
7717;1418095-02-9;Chlorothalonil R417888;metabolite;µg/L;0.10;0.10;;;;limite (pertinent, avis 2023-SA-0041-a du 29/04/2024);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
2051;30125-64-5;Terbuméton-désethyl;metabolite;µg/L;0.10;0.10;;;;limite (pertinent, avis 2018-SA-0134-b du 04/02/2020);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
6378;6339-19-1;Chloridazone desphényl;metabolite;µg/L;0.10;0.10;;;;limite (pertinent, avis 2022-SA-0162-a du 04/05/2023);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
6865;205939-58-8;Diméthénamide ESA;metabolite;µg/L;0.10;0.90;2022-01-26;;;vigilance (non pertinent depuis le 26/01/2022, avis 2021-SA-0020-b);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
7735;380412-59-9;Diméthénamide OXA;metabolite;µg/L;0.10;0.90;2022-01-26;;;vigilance (non pertinent depuis le 26/01/2022, avis 2021-SA-0020-b);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
6864;201668-32-8;Flufenacet ESA;metabolite;µg/L;0.10;0.10;;;;limite (pertinent, avis 2018-SA-0134-b du 04/02/2020);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
6895;172960-62-2;ESA metazachlore;metabolite;µg/L;0.10;0.90;2019-01-30;;;vigilance (non pertinent depuis le 30/01/2019, avis 2015-SA-0252);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
6894;1231244-60-2;OXA metazachlore;metabolite;µg/L;0.10;0.90;2019-01-30;;;vigilance (non pertinent depuis le 30/01/2019, avis 2015-SA-0252);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
6379;17254-80-7;Chloridazone méthyl desphényl;metabolite;µg/L;0.10;0.10;;;;limite (pertinent, avis 2022-SA-0162-b du 19/12/2023);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
6854;171118-09-5;ESA metolachlore;metabolite;µg/L;0.10;0.90;2022-09-30;;;vigilance (non pertinent depuis le 30/09/2022, avis 2021-SA-0205);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
6853;152019-73-3;OXA metolachlore;metabolite;µg/L;0.10;0.90;2021-01-14;;;vigilance (non pertinent depuis le 14/01/2021, avis 2019-SA-0129);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
7729;1418095-19-8;Metolachlor NOA 413173;metabolite;µg/L;0.10;0.90;2022-09-30;;;vigilance (non pertinent depuis le 30/09/2022, avis 2021-SA-0070);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
6384;3984-14-3;N,N-Dimethylsulfamide;metabolite;µg/L;0.10;0.10;;;;limite (pertinent, avis 2017-SA-0063 du 31/07/2018);;;0.10;Limite pesticide 0.1 µg/L, applicable avant reclassement;non;a_documenter;MET-05;verifie;non;
1108;6190-65-4;Atrazine déséthyl;metabolite;µg/L;0.10;0.10;;;;limite (pertinent - non reexamine par la table ANSES de juillet 2025);;;0.10;Limite UE pesticide;aucun statut PE reglementaire - jamais evaluee au titre des criteres PE (2018/605, 2017/2100) car interdite depuis 2004, pas de classification CLP harmonisee, absente des candidats SVHC de l ECHA;PE non etabli pour le metabolite - extrapole de la substance mere (regroupement chloro-s-triazines OMS/JMPR 2011), donnee propre a la DEA limitee a l axe corticotrope, equipotente (Laws et al. 2009). Non genotoxique. Preuve moderee chez l animal pour la mere, faible pour le metabolite. ANSES 2015-SA-0084 retient un effet neuroendocrinien critique sans employer le mot perturbateur endocrinien;REG-01|REG-07|PE-05;a_verifier;non;
;;Chlorites;sous-produit desinfection;mg/L;0.25;0.25;;0.70;methode de desinfection generant des chlorites;limite - la reference de qualite de 0,20 mg/L a EXPIRE le 31/12/2025, sans remplacement;;;0.25;Limite de qualite FR 0,25 mg/L, portee a 0,70 en cas de desinfection generatrice. La reference de qualite de 0,20 mg/L etait applicable jusqu au 31/12/2025 : caduque depuis, sans remplacement connu - le modele ne sait pas exprimer une date de FIN;non;a_documenter;REG-06;verifie;non;
1107;1912-24-9;Atrazine;pesticide;µg/L;0.10;0.10;;;;limite (substance interdite depuis 2004);;;0.10;Limite UE pesticide. Interdiction : decision 2004/248/CE, motivee par les eaux souterraines - les donnees ne demontraient pas que la substance et ses produits de degradation resteraient sous 0,1 ug/L - et NON par la perturbation endocrinienne;aucun statut PE reglementaire - jamais evaluee au titre de 2018/605 ou 2017/2100;altération de la pulsatilite du GnRH hypothalamique, pic de LH insuffisant pour declencher l ovulation : mode d action critique retenu par l OMS (2011). L induction de l aromatase est contestee : reelle in vitro, non demontree in vivo;REG-01|REG-07|PE-05|CIRC-01;verifie;non;2A - probablement cancerogene pour l homme (CIRC vol. 140, novembre 2025, contre groupe 3 depuis 1999)
6219;14797-73-0;Perchlorate;mineral;µg/L;;;;;;aucune exigence reglementaire - ni directive (UE) 2020-2184 ni droit francais. Valeurs de gestion recommandees par la DGS, jamais des limites de qualite : aucun depassement de conformite ne s y prononce;;;1;Avis Anses du 26-12-2018 (saisines 2016-SA-0155 et 2017-SA-0170) [GEST-01] : une concentration de 1 µg/L dans l eau de reconstitution des biberons ne fait pas depasser la VTR de 0,7 µg/kg pc/j pour 95 pour cent des consommateurs de laits infantiles. C est le repere le plus PROTECTEUR documente par le projet, pas un cadre legal (§2.14). Le meme avis recommande 5 µg/L pour l adulte. VALEURS DE GESTION DGS TOUJOURS EN VIGUEUR au 14-10-2022 [GEST-02] : 4 µg/L pour la preparation des biberons des nourrissons de moins de 6 mois et 15 µg/L pour les femmes enceintes et allaitantes (avis du 08-04-2014) - la DGS n a PAS repris le 5. Pour situer : OMS 2017 = 70 µg/L, US-EPA 2019 = 56 µg/L. La valeur depend d un parametre qui n est pas l eau - la part de l exposition totale attribuee a l eau de boisson, 60 pour cent en 2014 et 20 pour cent en 2018. VTR 0,7 µg/kg pc/j (2011), portee a 1,5 par l avis du 03-02-2022;non;a_documenter;GEST-01|GEST-02|GEST-03|GEST-04;verifie;non;
1393;7439-89-6;Fer;metal;µg/L;200.0;200.0;;;;reference;;;200.0;Reference de qualite FR arrete 11/01/2007 annexe I partie II section B;non;non;REG-02|REG-06;verifie;non;
1394;7439-96-5;Manganese;metal;µg/L;50.0;50.0;;;;reference;;;50.0;Reference de qualite FR arrete 11/01/2007 annexe I partie II section B;non;non;REG-02|REG-06;verifie;non;
1335;14798-03-9;Ammonium;mineral;mg/L;0.10;0.10;;0.50;origine naturelle demontree - eaux souterraines (note de l annexe I partie II section B);reference;;;0.10;Reference de qualite FR arrete 11/01/2007 annexe I partie II section B;non;non;REG-02|REG-06;verifie;non;
1841;;Carbone organique total;organique;mg/L;2.0;2.0;;;;reference (la mention < aucun changement anormal > n est pas modelisable);;;2.0;Reference de qualite FR arrete 11/01/2007 annexe I partie II section B;non;non;REG-02|REG-06;verifie;non;
1309;;Coloration;organoleptique;mg/L;15.0;15.0;;;;reference (double enonce - acceptable pour les consommateurs ET inferieure ou egale a 15);;;15.0;Reference de qualite FR arrete 11/01/2007 annexe I partie II section B;non;non;REG-02|REG-06;verifie;non;
1295;;Turbidite;organoleptique;NFU;1.0;1.0;;2.0;prelevement au robinet - reference de qualite 2 NFU. La limite de qualite de 1,0 NFU ne vise que les eaux de l article R. 1321-37 et les eaux souterraines de milieux fissures - le corpus ne dit pas si le bulletin en releve;reference;;;0.50;Reference de qualite FR 0,50 NFU au point de mise en distribution - meme perimetre que la limite;non;non;REG-02|REG-06;a_verifier;non;
2013;84-65-1;Anthraquinone;pesticide;µg/L;0.10;0.10;;;;limite;;;0.10;Limite UE pesticide (zero de substitution). Le code SANDRE 2013 et le CAS 84-65-1 sont portes par DEUX libelles de la source - Anthraquinone (pesticide) et Anthraquinone (HAP) - dont seul le premier porte une limite declaree. Appliquer la limite pesticide aux mesures etiquetees HAP est une decision de Yannick du 10 aout 2026, pas la lecture d un texte qui nomme cette molecule : d ou fiabilite = a_verifier (CLAUDE.md 2.7);non;a_documenter;REG-01|REG-03;a_verifier;non;
